,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
26,"Saturday August 24, 2024",Serie A ,2,04eea015,Udinese,Kosta Runjaić,3-4-3,2,0.8,1.3,1,Lazio,Marco Baroni,4-3-3,7213da33,D,5.0,1,,1.0,3,,,,,W,1.0,0,,12.0,-3,,,,
27,"Saturday August 24, 2024",Serie A ,2,d609edc0,Internazionale,Simone Inzaghi,3-5-2,2,2.4,0.3,0,Lecce,Luca Gotti,4-2-3-1,ffcbe334,D,5.0,1,,1.0,0,,,,,L,17.0,0,,12.0,0,,,,
28,"Saturday August 24, 2024",Serie A ,2,eab4234c,Parma,Fabio Pecchia,4-2-3-1,2,1.7,1.9,1,Milan,Paulo Fonseca,4-2-3-1,dc56fe14,D,5.0,-2,D,9.0,-2,1.0,1.7,1.0,0.7,D,5.0,-2,,12.0,-3,,,,
29,"Saturday August 31, 2024",Serie A ,3,7213da33,Lazio,Marco Baroni,4-4-1-1,2,2.1,1.3,2,Milan,Paulo Fonseca,4-2-3-1,dc56fe14,WL,8.0,-3,W,4.0,-2,3.0,2.4,1.0,0.6,DL,14.0,-5,L,13.0,-2,1.0,1.9,2.0,1.7
30,"Saturday August 31, 2024",Serie A ,3,ffcbe334,Lecce,Luca Gotti,4-2-3-1,1,1.7,1.8,0,Cagliari,Davide Nicola,3-5-2,c4260e09,LL,20.0,0,L,10.0,3,0.0,1.5,4.0,1.7,DD,12.0,-1,,5.0,-1,,,,
31,"Saturday August 31, 2024",Serie A ,3,1d8099f8,Bologna,Vincenzo Italiano,4-3-3,1,1.3,1.0,1,Empoli,Roberto D'Aversa,3-4-3,a3d88bd8,DL,14.0,-2,D,15.0,-4,1.0,3.2,1.0,0.9,DW,2.0,-2,W,1.0,1,2.0,2.7,1.0,2.1
32,"Saturday August 31, 2024",Serie A ,3,d48ad4ff,Napoli,Antonio Conte,3-4-3,2,2.2,1.7,1,Parma,Fabio Pecchia,4-2-3-1,eab4234c,LW,8.0,0,W,1.0,0,3.0,2.5,0.0,0.6,DW,2.0,1,,13.0,-2,,,,
33,"Saturday November 2, 2024",Serie A ,11,1d8099f8,Bologna,Vincenzo Italiano,4-2-3-1,1,1.4,0.7,0,Lecce,Luca Gotti,4-5-1,ffcbe334,DDDWW,9.0,-5,DDW,12.0,-3,0.6666666666666666,0.7666666666666666,0.3333333333333333,1.1666666666666667,LLLLW,17.0,2,LLL,20.0,-2,0.0,0.5666666666666667,1.6666666666666667,1.7333333333333334
34,"Saturday November 2, 2024",Serie A ,11,04eea015,Udinese,Kosta Runjaić,3-5-2,0,0.6,1.3,2,Juventus,Thiago Motta,4-2-3-1,e0652b02,LWLWL,8.0,7,LWW,7.0,6,1.6666666666666667,0.9,1.0,1.0333333333333334,WDWDD,6.0,-7,DWD,1.0,-1,2.3333333333333335,1.866666666666667,1.3333333333333333,1.3
35,"Saturday November 2, 2024",Serie A ,11,21680aa4,Monza,Alessandro Nesta,3-4-3,0,1.2,2.5,1,Milan,Paulo Fonseca,4-2-3-1,dc56fe14,LDWDL,17.0,1,LDD,20.0,-1,1.3333333333333333,0.9333333333333335,1.6666666666666667,0.7666666666666667,WLWLW,7.0,-7,WLW,9.0,-7,1.3333333333333333,2.2666666666666666,1.0,1.1333333333333333
